symptoms,dosha,num_symptoms,mixed
dislocated shoulder torn ligament fractured skull,no_match,3,
cold skin slow movements,kapha,2,
burning sensation red eyes excessive appetite,pitta,3,
bitter taste hypertension swelling,kapha,3,True
migraine anger excessive heat,pitta,3,
photophobia skin rashes conjunctivitis bleeding gums impatience abscesses,pitta,6,
exhaustion painful periods,vata,2,
dengue fever chemotherapy side effects,no_match,2,
memory loss dry skin,vata,2,
workplace accident kidney stones surgical complications,no_match,3,
rough skin early periods aversion to heat,pitta,3,True
sciatica impotence irregular appetite restlessness wrinkles insomnia depression mood swings,vata,7,
fainting hyperactivity muscle twitches irregular heartbeat,vata,4,
trembling weakness,vata,2,
skin rashes loose stools body odor,pitta,3,
sports injury,no_match,1,
wrinkles dry vagina weakness memory loss painful periods thin body depression mood swings,vata,7,
abdominal pain hyperactivity weight loss,vata,3,
burning sensation hypertension migraine inflammation,pitta,4,
obesity good memory bronchitis nausea after eating,kapha,4,
insomnia arthritis dry hair epilepsy constipation worry light sensitivity,vata,7,
weight gain calm disposition slow metabolism attachment thick hair slow comprehension sweet taste mouth,kapha,7,
anxiety exhaustion arthritis fatigue insomnia painful periods gas formation,vata,7,
gallstones heart attack cancer tumor,no_match,3,
worry gas formation fatigue sciatica touch sensitivity,vata,5,
red eyes eczema thirst restlessness sciatica fear dry vagina,vata,7,True
touch sensitivity hyperactivity rapid speech dry vagina exhaustion cracking joints cold hands feet worry,vata,8,
nerve damage gunshot wound dengue fever,no_match,3,
calm disposition cold limbs,kapha,2,
baldness burning sensation nausea eye strain hepatitis,pitta,5,
sour taste cannot skip meals jaundice skin inflammation heartburn bitter taste,pitta,6,
premature aging bloating thin body memory loss irregular heartbeat,vata,5,
constipation hoarse voice cold extremities,vata,3,True
diabetes greed hives,kapha,3,True
bleeding gums jaundice diarrhea skin inflammation nose bleeding,pitta,5,
lethargy large pores cough with mucus allergies cysts slow pulse regular appetite greed,kapha,8,
sharp hunger hot flashes nausea irritability excessive appetite,pitta,5,
fever ulcers abscesses gallbladder problems jealousy diarrhea,pitta,6,
jealousy migraine burning sensation excessive urination conjunctivitis diarrhea,pitta,6,
eczema sharp hunger,pitta,2,
trembling rough skin dizziness,vata,3,
delayed periods procrastination sluggishness white discharge tumors,kapha,5,
hypothyroid difficulty waking heaviness nausea after eating oily hair slow metabolism pneumonia,kapha,7,
post nasal drip pneumonia infertility low body temperature sluggishness irregular digestion,kapha,6,True
feeling cold slow digestion asthma,kapha,3,
burning sensation liver disorders bitter taste,pitta,3,
runny nose delayed periods lethargy craving sweets slow comprehension,kapha,5,
weight gain edema slow healing swelling bronchitis attachment,kapha,6,
noise sensitivity dry hair,vata,2,
low blood pressure cold skin runny nose low body temperature depression excessive sleep regular appetite bronchitis,kapha,8,
abdominal pain paralysis red complexion,vata,3,True
muscle twitches dizziness worry sciatica thin body,vata,5,
conjunctivitis ulcers,pitta,2,
irregular digestion fatigue memory loss touch sensitivity premature ejaculation nervousness rough skin depression mood swings,vata,8,
lack motivation excess mucus,kapha,2,
slow speech difficulty waking attachment slow digestion lethargy craving sweets,kapha,6,
malaria parasites dengue fever concussion brain injury,no_match,3,
dry vagina painful periods sciatica nervousness worry,vata,5,
red blood thin body fear weakness irregular digestion convulsions skin rashes,vata,7,True
monotone voice sweet taste mouth hepatitis procrastination fever,kapha,5,True
covid symptoms muscle tear herniated disc,no_match,3,
impotence cracking joints talkativeness thin body,vata,4,
excessive appetite photophobia red complexion red blood inflammation skin rashes hepatitis,pitta,7,
cold skin slow movements loyal nature daytime sleepiness calm disposition,kapha,5,
large pores pale skin loyal nature heavy periods cold extremities slow movements thick white coating tongue,kapha,7,
heartburn psoriasis early periods visual disturbances acne nose bleeding inflammation yellow eyes,pitta,8,
anxiety epilepsy impotence restlessness,vata,4,
slow movements daytime sleepiness regular appetite sweet taste mouth calm disposition post nasal drip,kapha,6,
thirst night sweats yellow eyes red eyes,pitta,4,
influenza fever,no_match,1,
concussion brain injury,no_match,1,
allergies slow speech thick hair loyal nature procrastination mental fog cough with mucus,kapha,7,
feeling cold excess saliva loyal nature thick white coating tongue lack motivation cysts thick hair tumors,kapha,8,
arthritis cysts attachment dry vagina wrinkles delayed periods thick hair,kapha,7,True
touch sensitivity wrinkles rapid speech memory loss premature aging impotence premature ejaculation confusion,vata,8,
pale skin diabetes excessive sleep obesity oversleeping large pores low blood pressure fluid retention,kapha,8,
red eyes sharp hunger heartburn acne boils skin inflammation,pitta,6,
red blood night sweats abdominal pain brittle nails bitter taste boils,pitta,6,True
loose stools craving cold drinks eczema diarrhea skin inflammation abscesses,pitta,6,
gunshot wound,no_match,1,
lack motivation cysts oily hair,kapha,3,
weight loss muscle twitches paralysis light sensitivity irregular appetite abdominal pain,vata,6,
hoarse voice insomnia dizziness,vata,3,
anxiety aversion to heat sour taste light sensitivity,pitta,4,True
excessive urination excessive heat,pitta,2,
weight gain low body temperature monotone voice large pores phlegm mental fog sluggishness,kapha,7,
infection conjunctivitis gas formation cold hands feet,vata,4,True
cough with mucus slow speech attachment phlegm calm disposition bronchitis obesity large pores,kapha,8,
constipation paralysis nausea heavy periods metallic taste excessive heat,pitta,6,True
night sweats photophobia red eyes hypertension cannot skip meals,pitta,5,
perfectionism yellow complexion acidity gallbladder problems hepatitis excessive urination,pitta,6,
craving sweets aversion to heat hyperacidity attachment,pitta,4,True
eczema premature graying hot flashes burning sensation perfectionism red complexion tension headache stye,pitta,8,
psoriasis confusion restlessness,pitta,3,True
stye depression craving sweets body odor cannot skip meals nausea after eating,kapha,6,True
oversleeping attachment high cholesterol low blood pressure nausea after eating post nasal drip,kapha,6,
diarrhea nose bleeding abscesses sweating baldness,pitta,5,
heaviness fluid retention,kapha,2,
cracking joints paralysis gas formation tension headache aversion to heat,vata,5,True
oily skin allergies bronchitis cold limbs excess saliva,kapha,5,
feeling cold slow movements weight gain sluggishness cold extremities nausea after eating attachment,kapha,7,
gallstones,no_match,1,
restlessness irregular appetite low blood pressure dry vagina irregular menstruation stiffness,vata,6,
excessive heat acne visual disturbances loose stools,pitta,4,
slow movements mental fog possessiveness cough with mucus edema,kapha,5,
heaviness craving dairy lack motivation regular appetite delayed periods congestion good memory bronchitis,kapha,8,
asthma lack motivation possessiveness cough with mucus phlegm,kapha,5,
hives premature graying psoriasis,pitta,3,
possessiveness cold skin post nasal drip heavy periods,kapha,4,
bloating irregular digestion,vata,2,
impotence irregular appetite cold hands feet brittle nails dizziness dry skin anxiety,vata,7,
sinus congestion obesity delayed periods,kapha,3,
photophobia bitter taste ulcers,pitta,3,
phlegm asthma heavy periods,kapha,3,
high cholesterol memory loss premature ejaculation sciatica,vata,4,True
tension headache hepatitis acne liver disorders nausea infection conjunctivitis nose bleeding,pitta,8,
excessive urination night sweats conjunctivitis jealousy craving cold drinks jaundice bitter taste baldness,pitta,8,
early periods hyperacidity hot flashes,pitta,3,
nervousness insomnia restlessness impotence dizziness dry cough fainting,vata,7,
insomnia thick white coating tongue dullness nausea after eating fainting,kapha,5,True
rapid speech gas formation dry cough convulsions,vata,4,
heavy periods yellow complexion premature graying heartburn hives yellow eyes baldness acne,pitta,8,
painful periods light sensitivity low blood pressure impotence fatigue irregular digestion constipation sciatica,vata,8,
hepatitis hyperacidity,pitta,2,
irregular digestion nervousness depression mood swings dizziness irregular heartbeat rough skin constipation,vata,7,
metallic taste cannot skip meals hypertension premature graying yellow eyes photophobia fever,pitta,7,
thirst slow pulse mental fog,pitta,3,True
hoarse voice asthma hyperactivity,kapha,3,True
talkativeness dizziness paralysis irregular appetite abdominal pain touch sensitivity,vata,6,
cold hands feet nervousness palpitations,vata,3,
sinus congestion stiffness paralysis confusion possessiveness light sensitivity,vata,6,True
